,date,time,ticker,link,headline,image,content
0,2020-10-28,18:54:00,TSLA,https://www.investors.com/market-trend/stock-market-today/dow-jones-futures-servicenow-pinterest-earnings-coronavirus-market-rout-apple-amazon-facebook-due/?src=A00220,"Dow Jones Futures: ServiceNow, Pinterest Offer Hope After Stock Market Rout; All Eyes On Apple, Amazon, Facebook, Google",https://www.investors.com/wp-content/uploads/2018/11/stock-bear-wave-01-adobe.jpg,"Dow Jones futures rose solidly late Wednesday, along with S&P 500 futures and Nasdaq futures. The stock market rally came under increasing pressure Wednesday, as stocks sold off on mixed earnings repo..."
1,2020-10-28,16:34:00,TSLA,https://www.investors.com/news/ford-earnings-q3-2020-ford-stock/?src=A00220,Ford Crushes Q3 Views With Surprise Earnings Jump; 2020 Profit Outlook Turns Positive,https://www.investors.com/wp-content/uploads/2017/10/stock-ford-04-shutter.jpg,Ford (F) blew away third-quarter views Wednesday with earnings that nearly doubled and now expects to a key profit gauge to turn positive this year. Ford stock rose.  X  Ford Earnings  Estimates: Wall...
2,2020-10-28,16:25:00,TSLA,https://www.marketwatch.com/story/tesla-inc-stock-falls-wednesday-underperforms-market-01603916730?siteid=yhoof2,"Tesla Inc. stock falls Wednesday, underperforms market",https://images.mktw.net/im-215076/social,"Shares of Tesla Inc. TSLA, -4.39% slipped 4.39% to $406.02 Wednesday, on what proved to be an all-around poor trading session for the stock market, with the NASDAQ Composite Index COMP, -3.73% falling..."
3,2020-10-28,16:00:00,TSLA,https://finance.yahoo.com/news/epa-data-shows-tesla-excels-200035538.html,New EPA Data Shows Tesla Excels In Electric Vehicle Efficiency,https://s.yimg.com/ny/api/res/1.2/MgWRaIXlrH1E1fCmTKY_zA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTk2MDtoPTY0MA--/https://s.yimg.com/uu/api/res/1.2/dV0Z6970Lrh1oC72c8itTg--~B/aD00MDA7dz02MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/Benzinga/64d822d1dec961411d3653bac57cd82d,"One of the most important aspects of an electric car is efficiency. Only so much battery energy can fit in the space a vehicle allows, and the batteries can be expensive. A more efficient car can go f..."
4,2020-10-28,13:46:00,TSLA,https://www.marketwatch.com/story/tesla-scores-a-distant-second-to-gm-in-new-study-11603906705?siteid=yhoof2,Tesla scores a distant second to GM in new Consumer Reports study,https://images.mktw.net/im-251135/social,"Tesla TSLA, -4.39% boss Elon Musk once tweeted to his 39.5 million followers that, “Consumer Reports is always fair & accurate in their criticism.” We’ll see if he sticks with that take after the publ..."
5,2020-10-28,13:34:00,TSLA,https://www.investopedia.com/investing/consumer-cyclical-stocks/?utm_campaign=quote-yahoo&utm_source=yahoo&utm_medium=referral,Top Consumer Discretionary Stocks for November 2020,"https://www.investopedia.com/thmb/BMKrDmwBMNleSLifLTz9CyiblCM=/680x440/filters:fill(auto,1)/man_looking_at_a_graph_on_computer_shutterstock_551664421-5bfc3afb46e0fb005148f138.jpg","Companies in the consumer discretionary sector sell goods and services that are considered non-essential, such as appliances, cars, and entertainment. Prominent examples include Home Depot Inc. (HD), ..."
6,2020-10-28,12:45:00,TSLA,https://www.investors.com/research/gm-stock-buy-now/?src=A00220,Is GM Stock A Buy As General Motors Soars With Hummer EV?,https://www.investors.com/wp-content/uploads/2020/10/Stock-GMC-Hummer02-company.jpg,"GM stock, after stalling for close to a decade, suddenly has gotten a jolt of electricity. General Motors sales snapped back in the third quarter, both in the U.S. and China. Meanwhile, GM s three big..."
7,2020-10-28,11:56:00,TSLA,https://www.thestreet.com/investing/general-motors-gm-super-cruise-tesla-autopilot-consumer-reports?puc=yahoo&cm_ven=YAHOO,GM Super Cruise System Top's Tesla's Autopilot: Consumer Reports,https://www.thestreet.com/.image/t_share/MTc2NDE5NjIyNDU3NzEzODU0/gm-super-cruise_3.jpg,"GM s Super Cruise stomps the competition with a rating of 69 out of 100, compared to 57 for Tesla s Autopilot.  General Motors’ (GM) - Get Report Cadillac Super Cruise active driver assistance technol..."
8,2020-10-28,11:13:00,TSLA,https://www.investors.com/news/tesla-stock-amd-jd-com-struggle-with-buy-point/?src=A00220,"AMD, Tesla, JD.com Struggle With Early Buy Points, But This Is The Real Problem",https://www.investors.com/wp-content/uploads/2019/12/stock-Tesla-Model3-10-shutter.jpg,"In the past several days, AMD stock, Tesla (TSLA) JD.com (JD) and Inphi (IPHI) have already triggered early entry points. But they have all hit resistance and pulled back just as the buy signal flashe..."
9,2020-10-28,11:10:00,TSLA,https://www.engadget.com/tesla-autopilot-second-to-gm-super-cruise-consumer-reports-151025030.html,Consumer Reports says Tesla Autopilot is a 'distant second' to GM's tech,https://o.aolcdn.com/images/dims?resize=1200%2C630&crop=1200%2C630%2C0%2C0&quality=95&image_uri=https%3A%2F%2Fs.yimg.com%2Fos%2Fcreatr-uploaded-images%2F2020-10%2F0e6e90e0-192a-11eb-b8cf-7dd54eeeca91&client=amp-blogside-v2&signature=0e9bbc6184d2a1e4e82bd39551c05cb046209697,"The publication also found that Super Cruise was better at notifying drivers when it was about to disengage. GM’s tech not only provides a clear visual alert, but uses pre-mapped road info to notify c..."
10,2020-10-28,10:20:00,TSLA,https://www.investors.com/market-trend/stock-market-today/dow-jones-stock-market-rally-microsoft-earnings-first-solar-earnings-apple-tesla/?src=A00220,"Dow Jones Plunges 700 Points, As Boeing, Microsoft Report Earnings; Apple, Tesla Drop, While First Solar Soars On Earnings",https://www.investors.com/wp-content/uploads/2020/03/stock-bulls-bears-red-01-adobe.jpg,"The Dow Jones Industrial Average plunged more than 700 points early Wednesday, as Boeing and Microsoft reported earnings. Tech giants Apple and Tesla stumbled in morning trade, while First Solar soare..."
11,2020-10-28,10:13:00,TSLA,https://www.fool.com/investing/2020/10/28/jdcom-is-beating-amazon-and-tesla-to-this-key-tech/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article,JD.com Is Beating Amazon and Tesla to This Key Tech Milestone,https://g.foolcdn.com/editorial/images/596365/jd-level-4-vehicle.jpg,"JD.com , China s biggest direct online retailer, is set to become the first company in the world to deploy an autonomous delivery vehicle program at scale. The company says it s operating an autonomou..."
12,2020-10-28,10:05:00,TSLA,https://finance.yahoo.com/news/zacks-analyst-blog-highlights-microsoft-140502236.html,"The Zacks Analyst Blog Highlights: Microsoft, Tesla, AT&T, Apple and Oracle",https://s.yimg.com/ny/api/res/1.2/u30J0jzVz_60KdMhh6EesQ--/YXBwaWQ9aGlnaGxhbmRlcjt3PTk2MDtoPTYwNC43MjQ0MDk0NDg4MTg4/https://s.yimg.com/uu/api/res/1.2/rlnl24ndnc496REe1qKMug--~B/aD00MDA7dz02MzU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en-us/zacks.com/5d091b3e912681bbeabff8c176ea70a1,"Chicago, IL – October 28, 2020 – Zacks.com announces the list of stocks featured in the Analyst Blog. Every day the Zacks Equity Research analysts discuss the latest news and events impacting stocks a..."
13,2020-10-28,09:58:00,TSLA,https://www.fool.com/investing/2020/10/28/general-motors-super-cruise-tops-tesla-autopilot-i/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article,"General Motors Super Cruise Tops Tesla Autopilot in ""Consumer Reports"" Testing",https://g.foolcdn.com/editorial/images/597043/interior-of-autonomous-car-driverless-vehicle-self-driving-source-getty.jpg,"A General Motors  vehicle with the company s Super Cruise technology is the top driver assistance system on the market, according to Consumer Reports, with Tesla s  ballyhooed Autopilot finishing ""a d..."
14,2020-10-28,09:17:00,TSLA,https://www.engadget.com/tesla-2021-models-top-epa-ev-efficiency-131759815.html,EPA tests show Tesla's 2021 models are even tougher to beat on efficiency,https://o.aolcdn.com/images/dims?resize=1200%2C630&crop=1200%2C630%2C0%2C0&quality=95&image_uri=https%3A%2F%2Fs.yimg.com%2Fos%2Fcreatr-uploaded-images%2F2020-10%2F7cc09f00-1918-11eb-a7df-8949896ca1df&client=amp-blogside-v2&signature=8e7f0832bc4c97fd88a5f5e6817ea532a8a1e9cd,"Tesla’s claims of extended range on its 2021 EVs might be more than marketing bluster. As Electrek reports, the EPA has released MPGe (miles per gallon of gas equivalent) ratings showing the 2021 Mode..."
